,Turn,Speaker,Text,True,Pred
0,0,1,hi there!,Not-a-strategy,Information Inquiry-Contesting
1,0,1,how are you?,Not-a-strategy,Information Inquiry-Contesting
2,1,1,same here!,Not-a-strategy,Information Inquiry-Contesting
3,2,1,i know.,Not-a-strategy,Information Inquiry-Contesting
4,2,1,it's so heartbreaking,Not-a-strategy,Information Inquiry-Contesting
5,3,1,"no, i've never heard about it",Not-a-strategy,Information Inquiry-Contesting
6,4,1,really?,Not-a-strategy,Information Inquiry-Contesting
7,4,1,I would like to learn more about this organization.,Hesitance-Hesitance,Information Inquiry-Contesting
8,5,1,i actually did but never had a chance to do so,Not-a-strategy,Information Inquiry-Contesting
9,6,1,i do like to donate to charities and this one sounds good because i want to help children but how do i know they are legit?,Information Inquiry-Contesting,Information Inquiry-Contesting
10,7,1,"sure, what's the website?",Hesitance-Hesitance,Information Inquiry-Contesting
11,8,1,"give me a minute , let me see",Source Derogation-Contesting,Information Inquiry-Contesting
12,9,1,"okay, it looks great.",Not-a-strategy,Information Inquiry-Contesting
13,9,1,I see they are top rated charity,Not-a-strategy,Information Inquiry-Contesting
14,0,1,I'm good!,Not-a-strategy,Information Inquiry-Contesting
15,0,1,How are you doing?,Not-a-strategy,Information Inquiry-Contesting
16,0,1,What's your feelings about giving to children's charities?,Not-a-strategy,Information Inquiry-Contesting
17,1,1,I agree that you have to be careful.,Not-a-strategy,Information Inquiry-Contesting
18,1,1,I do donate to Ronald McDonald House and St Jude.,Self Assertion-Empowerment,Information Inquiry-Contesting
19,1,1,How much do you donate?,Counter Argumentation-Contesting,Information Inquiry-Contesting
20,2,1,I have heard of Save the Children but I'd rather keep my donations US-based,Self Assertion-Empowerment,Information Inquiry-Contesting
21,3,1,I am not sure about where all the donation money ends up.,Hesitance-Hesitance,Information Inquiry-Contesting
22,3,1,I'd rather give to Ronald McDonalds especially since I know people who have personally benefited.,Information Inquiry-Contesting,Information Inquiry-Contesting
23,4,1,there are so many starving and abused kids here in the US that I'd feel more comfortable helping them first.,Self Assertion-Empowerment,Information Inquiry-Contesting
24,5,1,that's true.,Not-a-strategy,Information Inquiry-Contesting
25,5,1,I could spread out donations.,Not-a-strategy,Information Inquiry-Contesting
26,6,1,"I'd rather donate to Ronald McDonald - how much are you donating, though?",Self Assertion-Empowerment,Information Inquiry-Contesting
27,7,1,I'll donate but not that much,Not-a-strategy,Information Inquiry-Contesting
28,8,1,Would you give some of that .15 to Ronald McDonald?,Counter Argumentation-Contesting,Information Inquiry-Contesting
29,8,1,I'd do .15 with splitting,Not-a-strategy,Information Inquiry-Contesting
30,9,1,OK perfect!,Not-a-strategy,Information Inquiry-Contesting
31,9,1,Let's both do .15 but split among Ronald McDonald and Save the Children!,Self Assertion-Empowerment,Information Inquiry-Contesting
32,9,1,Great!,Not-a-strategy,Information Inquiry-Contesting
33,9,1,Thank you for your donation!,Not-a-strategy,Information Inquiry-Contesting
34,0,1,I'm great.,Not-a-strategy,Information Inquiry-Contesting
35,0,1,How about yourself?,Not-a-strategy,Information Inquiry-Contesting
36,1,1,"I do donate sometimes, yes.",Not-a-strategy,Information Inquiry-Contesting
37,2,1,"I have donated a couple of times; like for the St Jude's Hospital, red nose day and March of Dimes.",Self Assertion-Empowerment,Information Inquiry-Contesting
38,2,1,I do what I can to give back.,Not-a-strategy,Information Inquiry-Contesting
39,3,1,That is very true.,Not-a-strategy,Information Inquiry-Contesting
40,3,1,"If more people gave, even it's a small amount, it truly adds up and can make a difference.",Not-a-strategy,Information Inquiry-Contesting
41,4,1,"Absolutely, they are the future generation and it's imperative that they are nurtured and looked after.",Not-a-strategy,Information Inquiry-Contesting
42,5,1,That's great.,Not-a-strategy,Information Inquiry-Contesting
43,5,1,Could you tell me more about this charity?,Hesitance-Hesitance,Information Inquiry-Contesting
44,6,1,Sounds amazing.,Not-a-strategy,Information Inquiry-Contesting
45,6,1,How are the proceeds distributed?,Hesitance-Hesitance,Information Inquiry-Contesting
46,7,1,How would you go about donating to this cause?,Information Inquiry-Contesting,Information Inquiry-Contesting
47,8,1,"Awesome, I'll head over there right now and support it thank you.",Not-a-strategy,Information Inquiry-Contesting
48,9,1,I can donate a dollar for now since I don't have much right but I feel obligated to at least donate something.,Not-a-strategy,Information Inquiry-Contesting
49,0,1,hello i am fine thank you,Not-a-strategy,Information Inquiry-Contesting
50,1,1,yes I've donated $ 150 to this year for this organization,Not-a-strategy,Information Inquiry-Contesting
51,2,1,"I know more or less how it works and my goals are, but what do you know",Hesitance-Hesitance,Information Inquiry-Contesting
52,3,1,"very fair, it is good that all contribute little to the help of children all over the world",Not-a-strategy,Information Inquiry-Contesting
53,4,1,"I feel the happiest man in the world when I donate some help if she is, I feel very good when my help is happening to people",Not-a-strategy,Information Inquiry-Contesting
54,5,1,I do not only help the children but everybody who needs some help if this financial or moral help,Self Assertion-Empowerment,Information Inquiry-Contesting
55,6,1,"true, we live a life and it would be more fun to live beautifully and happily but not only for ourselves but to be happy for all the people who surround us somewhat",Not-a-strategy,Information Inquiry-Contesting
56,7,1,if I define what makes me happy in life is to look and my beloved happy man,Not-a-strategy,Information Inquiry-Contesting
57,8,1,"I wanted to buy clothes for myself today, but I will give them some kind of charity online search, full $ 100",Source Derogation-Contesting,Information Inquiry-Contesting
58,9,1,"work here is the other thing, my donation comes from my other payment",Source Derogation-Contesting,Information Inquiry-Contesting
59,0,1,i usually do donate to charities,Self Assertion-Empowerment,Information Inquiry-Contesting
60,1,1,I would like to know more about this charity,Hesitance-Hesitance,Information Inquiry-Contesting
61,2,1,I'm surprised i've never heard about it! how do i know if it's legit and if money really go to help those kids,Information Inquiry-Contesting,Information Inquiry-Contesting
62,3,1,i understand but i just don't feel comfortable donating yet.,Information Inquiry-Contesting,Information Inquiry-Contesting
63,4,1,I'm currently receiving food stamps so i don't buy candy and unnecessary stuff.,Counter Argumentation-Contesting,Information Inquiry-Contesting
64,4,1,i'm super broke right now,Personal Choice-Empowerment,Information Inquiry-Contesting
65,5,1,"yes, i guess i can.",Not-a-strategy,Information Inquiry-Contesting
66,6,1,it does.,Not-a-strategy,Information Inquiry-Contesting
67,6,1,i really love helping people,Not-a-strategy,Information Inquiry-Contesting
68,7,1,"Yes, i agree",Not-a-strategy,Information Inquiry-Contesting
69,8,1,thank you!,Not-a-strategy,Information Inquiry-Contesting
70,8,1,You too!,Not-a-strategy,Information Inquiry-Contesting
71,9,1,"I'm not sure yet, maybe 5 cents",Not-a-strategy,Information Inquiry-Contesting
72,0,1,maybe,Not-a-strategy,Information Inquiry-Contesting
73,1,1,that is not bad,Not-a-strategy,Information Inquiry-Contesting
74,2,1,"yeah, that is true.",Not-a-strategy,Information Inquiry-Contesting
75,2,1,spend lots of money on beer,Self Assertion-Empowerment,Information Inquiry-Contesting
76,3,1,how are the donations made?,Hesitance-Hesitance,Information Inquiry-Contesting
77,4,1,ok.it only pays $0.30 though,Not-a-strategy,Information Inquiry-Contesting
78,5,1,ok that would be fine,Not-a-strategy,Information Inquiry-Contesting
79,6,1,$0.25 is a good amount,Not-a-strategy,Information Inquiry-Contesting
80,7,1,that sounds good,Not-a-strategy,Information Inquiry-Contesting
81,8,1,"yes, that is fine",Not-a-strategy,Information Inquiry-Contesting
82,9,1,thank you and hope it helps,Not-a-strategy,Information Inquiry-Contesting
83,0,1,Good day...,Not-a-strategy,Information Inquiry-Contesting
84,0,1,"it's a Monday, but a good start to the week!",Not-a-strategy,Information Inquiry-Contesting
85,1,1,I'm just waiting until it's time to go volunteer at a local children's hospital...,Self Assertion-Empowerment,Information Inquiry-Contesting
86,1,1,I cuddle babies in the NICU.,Self Assertion-Empowerment,Information Inquiry-Contesting
87,2,1,"A friend has been doing it for awhile, and I've always been interested.",Not-a-strategy,Information Inquiry-Contesting
88,2,1,"There is quite a bit of training and background checks, but it's worth it!",Not-a-strategy,Information Inquiry-Contesting
89,3,1,Sure!,Not-a-strategy,Information Inquiry-Contesting
90,3,1,"As you can tell, it's something I'm very concerned about!",Not-a-strategy,Information Inquiry-Contesting
91,4,1,"It makes me feel like life is so unfair, and those of us who can help, should.",Not-a-strategy,Information Inquiry-Contesting
92,5,1,I don't believe so.,Information Inquiry-Contesting,Information Inquiry-Contesting
93,6,1,Is it a well regulated agency?,Hesitance-Hesitance,Information Inquiry-Contesting
94,6,1,How much of donations go to the kids?,Hesitance-Hesitance,Information Inquiry-Contesting
95,7,1,How long has it been around?,Hesitance-Hesitance,Information Inquiry-Contesting
96,8,1,I'm looking it up right now.,Not-a-strategy,Information Inquiry-Contesting
97,8,1,Established 1919,Not-a-strategy,Information Inquiry-Contesting
